,parcel_id,tax_total,fips,num_bedroom,num_bathroom,tax_delinquency_flag,area_living_finished_total,area_lot,pct_change
1422,10947525,80743,Los Angeles County,2,1,,1263,8368,2.815725304
1423,10947671,593314,Los Angeles County,4,2,,2751,7399,2.815725304
1424,10947694,324874,Los Angeles County,3,2,,1495,7307,2.815725304
1425,10947794,634408,Los Angeles County,3,1,,1349,7370,2.815725304
1426,10948017,617327,Los Angeles County,3,2,,1736,7121,2.815725304
1427,10948613,264132,Los Angeles County,3,1,,1032,6439,2.815725304
1428,10948825,198169,Los Angeles County,2,1,,917,7320,2.815725304
1429,10949009,141494,Los Angeles County,2,1,,1025,6483,2.815725304
1430,10949032,72879,Los Angeles County,2,1,,914,6429,2.815725304
1431,10949147,214232,Los Angeles County,2,1,,998,6377,2.815725304
1432,10949444,453048,Los Angeles County,4,2,,1480,6748,2.815725304
1433,10949567,62574,Los Angeles County,3,1,,1312,6574,2.815725304
1434,10949658,400080,Los Angeles County,3,1,,1027,7147,2.815725304
1435,10949904,500008,Los Angeles County,2,2,,1156,6349,2.815725304
1436,10950299,188193,Los Angeles County,2,2,,1108,6730,2.815725304
1437,10950452,192807,Los Angeles County,2,1,,846,7369,2.815725304
1438,10951101,262519,Los Angeles County,2,1,,1251,5830,2.815725304
1439,10951986,451898,Los Angeles County,3,1,,1349,6207,2.815725304
1440,10952086,273913,Los Angeles County,3,1,,1365,6001,2.815725304
1441,10952509,290208,Los Angeles County,5,3,,1970,7263,2.815725304
1442,10952616,136629,Los Angeles County,4,3,,2661,25483,2.815725304
1443,10952985,121729,Los Angeles County,2,2,,1918,8041,2.815725304
1444,10953646,248928,Los Angeles County,2,2,,2160,12244,2.815725304
1445,10953669,344759,Los Angeles County,3,2,,1969,6446,2.815725304
1446,10953792,711030,Los Angeles County,4,4,,3222,7157,2.815725304
1447,10953984,402345,Los Angeles County,4,2,,1937,8834,2.815725304
1449,10954606,1090976,Los Angeles County,4,5,,4480,12511,2.815725304
1450,10954713,494167,Los Angeles County,3,1,,1269,5713,2.815725304
1451,10954836,422345,Los Angeles County,4,3,,1936,7070,2.815725304
1452,10955235,99703,Los Angeles County,2,2,,1788,8665,2.815725304
1453,10955327,363822,Los Angeles County,3,1,,1248,6767,2.815725304
1454,10956024,217390,Los Angeles County,2,1,,736,4958,2.815725304
1455,10956116,90298,Los Angeles County,3,1,,1233,4822,2.815725304
1456,10956636,270410,Los Angeles County,2,1,,646,2394,2.815725304
1457,10957454,517882,Los Angeles County,4,3,,2067,6725,2.815725304
1458,10957814,451090,Los Angeles County,3,1,,872,6847,2.815725304
1459,10958197,80673,Los Angeles County,3,2,,1465,6989,2.815725304
1460,10958343,315449,Los Angeles County,3,2,,2391,6573,2.815725304
1461,10958542,309468,Los Angeles County,2,1,,1204,6700,2.815725304
1462,10958587,268559,Los Angeles County,3,2,,1328,6535,2.815725304
1463,10958800,399165,Los Angeles County,2,2,,1014,6837,2.815725304
1464,10958930,403694,Los Angeles County,2,1,,984,6671,2.815725304
1465,10958999,69515,Los Angeles County,2,2,,1292,6768,2.815725304
1466,10959022,308057,Los Angeles County,3,2,,1535,6010,2.815725304
1467,10959091,279835,Los Angeles County,3,2,,1974,6971,2.815725304
1468,10959114,1064694,Los Angeles County,4,4,,2866,6776,2.815725304
1469,10959137,644815,Los Angeles County,3,2,,1206,6328,2.815725304
1470,10959252,418491,Los Angeles County,4,2,,2351,6033,2.815725304
1471,10959413,64950,Los Angeles County,2,1,,909,6023,2.815725304
1472,10959436,257210,Los Angeles County,3,3,,2353,5946,2.815725304
1473,10959651,423506,Los Angeles County,2,1,,909,6272,2.815725304
1474,10960199,439705,Los Angeles County,3,2,,1556,6081,2.815725304
1475,10960988,614765,Los Angeles County,2,2,,1516,6120,2.815725304
1476,10961519,377335,Los Angeles County,3,2,,1741,6511,2.815725304
1478,10962015,584027,Los Angeles County,2,1,,1310,6467,2.815725304
1480,10962242,443522,Los Angeles County,4,2,,1836,21125,2.815725304
1481,10962669,589312,Los Angeles County,3,3,,2457,19501,2.815725304
1482,10962692,462000,Los Angeles County,5,4,,1920,8192,2.815725304
1483,10962972,240828,Los Angeles County,3,2,,1783,11006,2.815725304
1484,10963187,234656,Los Angeles County,4,2,,1416,5325,2.815725304
1485,10963287,155846,Los Angeles County,3,2,,988,6052,2.815725304
1486,10963379,372000,Los Angeles County,3,2,,1118,7562,2.815725304
1488,10963927,386275,Los Angeles County,4,2,,1610,11065,2.815725304
1489,10963950,296110,Los Angeles County,3,2,,1764,8752,2.815725304
1490,10964395,323979,Los Angeles County,5,2,,1960,10498,2.815725304
1491,10964495,441650,Los Angeles County,5,3,,1851,11010,2.815725304
1492,10965062,251085,Los Angeles County,4,2,,1858,16651,2.815725304
1493,10965369,242028,Los Angeles County,4,2,,2046,5928,2.815725304
1494,10965392,287116,Los Angeles County,2,1,,1050,21812,2.815725304
1495,10966271,194912,Los Angeles County,4,2,,1200,7532,2.815725304
1496,10966317,202782,Los Angeles County,3,2,,1679,14734,2.815725304
1497,10966523,186892,Los Angeles County,4,2,,1122,6061,2.815725304
1498,10966753,133489,Los Angeles County,3,2,,1161,6002,2.815725304
1499,10966876,64790,Los Angeles County,2,1,,936,5505,2.815725304
1500,10967188,91337,Los Angeles County,4,1,,1423,7021,2.815725304
1501,10967333,214195,Los Angeles County,2,2,,984,7021,2.815725304
1502,10967356,57484,Los Angeles County,3,1,,1197,5993,2.815725304
1503,10967379,340106,Los Angeles County,3,1,,1169,6362,2.815725304
1505,10967796,68644,Los Angeles County,3,1,,1361,8934,2.815725304
1506,10967896,190883,Los Angeles County,3,1,,1169,7142,2.815725304
1507,10968119,156301,Los Angeles County,3,1,Y,1152,8937,2.815725304
1508,10968508,409000,Los Angeles County,4,3,,1694,7645,2.815725304
1509,10968731,282974,Los Angeles County,4,2,,1130,7796,2.815725304
1510,10968900,279539,Los Angeles County,2,2,,1648,10890,2.815725304
1511,10970026,174260,Los Angeles County,3,2,,1518,6271,2.815725304
1512,10970072,220780,Los Angeles County,4,3,,1419,5615,2.815725304
1513,10970264,97995,Los Angeles County,2,1,,654,3374,2.815725304
1514,10970493,263019,Los Angeles County,3,2,,1662,7559,2.815725304
1515,10970899,171223,Los Angeles County,2,2,Y,1107,7478,2.815725304
1516,10971122,158940,Los Angeles County,4,2,,1190,7507,2.815725304
1517,10971368,254973,Los Angeles County,4,3,,1868,7526,2.815725304
1518,10971468,203889,Los Angeles County,3,2,,1828,7763,2.815725304
1519,10972290,407000,Los Angeles County,3,2,,1297,7593,2.815725304
1520,10972548,105684,Los Angeles County,4,2,,1736,6494,2.815725304
1521,10972859,165710,Los Angeles County,1,1,,1080,6749,2.815725304
1522,10973415,313228,Los Angeles County,6,3,,2350,6337,2.815725304
1523,10973515,264544,Los Angeles County,3,2,,1108,6262,2.815725304
1524,10973942,249651,Los Angeles County,2,1,,806,5406,2.815725304
1525,10974164,222628,Los Angeles County,3,2,,1242,7316,2.815725304
1526,10974279,218948,Los Angeles County,2,2,,1395,7404,2.815725304
1527,10974302,225487,Los Angeles County,4,2,,1699,7528,2.815725304
1528,10974402,185606,Los Angeles County,3,2,,1261,6617,2.815725304
1529,10974425,61968,Los Angeles County,3,2,,1212,7501,2.815725304
1530,10974571,293149,Los Angeles County,3,2,,1544,7127,2.815725304
1531,10975957,189484,Los Angeles County,2,1,,975,6015,2.815725304
1532,10977229,402723,Los Angeles County,4,3,,2372,4426,2.815725304
1533,10977298,180612,Los Angeles County,3,1,,1120,4996,2.815725304
1536,10977995,218844,Los Angeles County,2,1,,1136,4999,2.815725304
1537,10978507,350000,Los Angeles County,4,2,,1195,6029,2.815725304
1538,10978660,47891,Los Angeles County,4,2,,1325,7505,2.815725304
1539,10979157,65433,Los Angeles County,3,2,Y,1164,8544,2.815725304
1540,10980041,266500,Los Angeles County,3,2,,1075,6302,2.815725304
1541,10980210,135842,Los Angeles County,3,2,,1075,6000,2.815725304
1542,10980233,203567,Los Angeles County,4,3,,1687,9341,2.815725304
1543,10980256,139745,Los Angeles County,2,1,,961,12175,2.815725304
1544,10980371,399082,Los Angeles County,3,2,,1475,11006,2.815725304
1545,10980486,217104,Los Angeles County,3,3,,1639,7313,2.815725304
1546,10980882,606000,Los Angeles County,4,2,,2099,22383,2.815725304
1547,10981079,408127,Los Angeles County,3,2,,1772,11010,2.815725304
1548,10981179,398573,Los Angeles County,3,2,,1488,11029,2.815725304
1549,10981317,237312,Los Angeles County,3,1,,1383,20513,2.815725304
1550,10981363,73388,Los Angeles County,3,2,,1742,13016,2.815725304
1551,10981791,146727,Los Angeles County,2,2,,1437,7477,2.815725304
1552,10982190,289210,Los Angeles County,3,2,,1750,7559,2.815725304
1553,10982313,333657,Los Angeles County,3,2,Y,1506,10160,2.815725304
1554,10982436,207900,Los Angeles County,2,2,,851,7067,2.815725304
1555,10983031,127558,Los Angeles County,3,2,,1144,7517,2.815725304
1556,10983131,163361,Los Angeles County,3,2,,1000,7521,2.815725304
1557,10983377,454000,Los Angeles County,6,4,,2428,7498,2.815725304
1558,10983623,397000,Los Angeles County,4,3,,1550,5263,2.815725304
1559,10983730,158396,Los Angeles County,4,2,,1408,6796,2.815725304
1560,10984381,49527,Los Angeles County,3,2,,1386,7506,2.815725304
1561,10984604,220523,Los Angeles County,3,2,,1106,7538,2.815725304
1562,10985178,39321,Los Angeles County,3,1,Y,1123,6667,2.815725304
1563,10985239,322000,Los Angeles County,3,1,,985,7829,2.815725304
1564,10986147,223858,Los Angeles County,3,2,,920,3550,2.815725304
1565,10986254,169934,Los Angeles County,6,3,,2562,8130,2.815725304
1566,10987500,187112,Los Angeles County,4,2,,1646,13300,2.815725304
1567,10987949,257884,Los Angeles County,3,2,,1437,5801,2.815725304
1568,10988537,291269,Los Angeles County,3,1,,860,19912,2.815725304
1569,10988629,234970,Los Angeles County,3,2,,2048,15310,2.815725304
1570,10988980,616745,Los Angeles County,4,2,,2979,16724,2.815725304
1571,10989026,387905,Los Angeles County,2,2,,1325,22398,2.815725304
1572,10989592,451422,Los Angeles County,3,3,,2068,20099,2.815725304
1573,10989691,524068,Los Angeles County,3,2,,2594,24929,2.815725304
1574,10990142,116018,Los Angeles County,4,2,,2049,25998,2.815725304
1576,10991455,411768,Los Angeles County,3,2,,1404,7826,2.815725304
1577,10991668,349000,Los Angeles County,1,1,,863,7814,2.815725304
1578,10991805,610967,Los Angeles County,3,2,,1540,19451,2.815725304
1579,10992313,275461,Los Angeles County,3,3,,1589,5234,2.815725304
1580,10992382,378000,Los Angeles County,2,1,,998,5522,2.815725304
1581,10992528,199716,Los Angeles County,4,2,,1600,11153,2.815725304
1582,10992628,397666,Los Angeles County,3,3,,1662,6715,2.815725304
1583,10992820,536000,Los Angeles County,4,2,,1664,5982,2.815725304
1584,10992843,227894,Los Angeles County,3,2,,1266,8185,2.815725304
1585,10993339,54007,Los Angeles County,3,2,,1262,7278,2.815725304
1587,10994438,160584,Los Angeles County,3,1,,1059,6071,2.815725304
1588,10994653,294122,Los Angeles County,3,2,,1231,6418,2.815725304
1589,10994676,52783,Los Angeles County,3,2,,1231,6280,2.815725304
1590,10994951,527000,Los Angeles County,2,2,,1908,17398,2.815725304
1591,10995142,483000,Los Angeles County,3,2,,1024,8060,2.815725304
1592,10995395,354426,Los Angeles County,2,3,,1233,5819,2.815725304
1593,10995518,430000,Los Angeles County,3,2,,1344,4195,2.815725304
1594,10995863,362092,Los Angeles County,2,1,,936,4478,2.815725304
1595,10995947,321292,Los Angeles County,2,1,,640,5759,2.815725304
1596,10997560,255839,Los Angeles County,2,1,,1040,4900,2.815725304
1597,10997744,271305,Los Angeles County,3,3,,2004,5263,2.815725304
1598,10997767,152076,Los Angeles County,3,1,,1216,5991,2.815725304
1599,10997874,463948,Los Angeles County,3,3,,1734,6721,2.815725304
1600,10997935,143060,Los Angeles County,3,2,,1812,9050,2.815725304
1602,10998464,458990,Los Angeles County,3,2,,1605,5011,2.815725304
1603,10998487,251145,Los Angeles County,3,2,,1098,6463,2.815725304
1604,10998739,227200,Los Angeles County,2,1,,892,4412,2.815725304
1605,10999552,156516,Los Angeles County,2,2,,1152,8146,2.815725304
1606,10999846,139485,Los Angeles County,4,1,,1016,4438,2.815725304
1607,10999884,134328,Los Angeles County,2,2,,1173,2399,2.815725304
1608,11002180,288354,Los Angeles County,3,1,,1376,6612,2.815725304
1609,11002287,159172,Los Angeles County,2,1,,824,6624,2.815725304
1610,11002310,225666,Los Angeles County,2,1,,865,11964,2.815725304
1611,11003174,295794,Los Angeles County,3,1,Y,808,2512,2.815725304
1613,11003421,702766,Los Angeles County,2,3,,1607,1424,2.815725304
1614,11003674,223702,Los Angeles County,2,1,,812,8734,2.815725304
1615,11003742,140127,Los Angeles County,4,3,,2676,20377,2.815725304
1616,11003932,54217,Los Angeles County,3,2,,1269,5718,2.815725304
1617,11004315,230360,Los Angeles County,3,2,,1528,6919,2.815725304
1618,11004361,557381,Los Angeles County,4,2,,2057,8350,2.815725304
1619,11004384,304706,Los Angeles County,2,1,,1180,9595,2.815725304
1620,11004829,405644,Los Angeles County,3,2,,1404,7176,2.815725304
1621,11004929,571640,Los Angeles County,3,2,,1619,8254,2.815725304
1622,11005381,100951,Los Angeles County,3,2,,1564,9012,2.815725304
1623,11005938,713985,Los Angeles County,5,3,,2547,10990,2.815725304
1624,11006061,285171,Los Angeles County,3,2,,1528,7500,2.815725304
1625,11006184,278582,Los Angeles County,3,2,,1134,7498,2.815725304
1626,11006284,338315,Los Angeles County,3,2,,1288,7514,2.815725304
1627,11006407,279563,Los Angeles County,3,2,,1316,7498,2.815725304
1628,11007402,238304,Los Angeles County,3,2,,1816,9726,2.815725304
1629,11007517,300090,Los Angeles County,3,4,,2316,7512,2.815725304
1630,11007640,300722,Los Angeles County,3,2,,1572,8683,2.815725304
1631,11008001,184864,Los Angeles County,5,3,,1904,7516,2.815725304
1632,11008047,343323,Los Angeles County,3,2,,1649,6178,2.815725304
1633,11008093,268729,Los Angeles County,3,3,,2051,11424,2.815725304
1634,11008193,312026,Los Angeles County,4,3,,1857,5569,2.815725304
1635,11008858,858146,Los Angeles County,3,3,,3145,19457,2.815725304
1636,11008981,508790,Los Angeles County,3,4,,3981,14608,2.815725304
1637,11009432,660000,Los Angeles County,3,2,,2183,8797,2.815725304
1638,11009532,633019,Los Angeles County,4,3,,3301,17504,2.815725304
1639,11009678,491566,Los Angeles County,5,4,,3093,17015,2.815725304
1640,11009870,934402,Los Angeles County,5,5,,4416,17616,2.815725304
1641,11010118,282558,Los Angeles County,5,3,,2625,8307,2.815725304
1642,11010241,382321,Los Angeles County,5,4,,3519,8577,2.815725304
1643,11010610,176479,Los Angeles County,5,2,,2450,11255,2.815725304
1644,11010710,117923,Los Angeles County,5,2,,2078,13037,2.815725304
1645,11011722,354184,Los Angeles County,5,3,,2591,5049,2.815725304
1646,11011791,282274,Los Angeles County,4,3,,2032,7590,2.815725304
1647,11011952,326796,Los Angeles County,3,2,,1359,9423,2.815725304
1648,11012757,289824,Los Angeles County,2,2,,2043,12494,2.815725304
1649,11012857,488582,Los Angeles County,3,2,,2280,11029,2.815725304
1650,11012957,143097,Los Angeles County,3,3,,2267,11046,2.815725304
1651,11013057,352615,Los Angeles County,3,2,,1879,18578,2.815725304
1652,11013157,402212,Los Angeles County,3,2,,1477,7059,2.815725304
1653,11013484,370853,Los Angeles County,3,2,,1896,14377,2.815725304
1654,11013507,550829,Los Angeles County,3,2,,2041,11579,2.815725304
1655,11013899,610891,Los Angeles County,4,3,,3983,18366,2.815725304
1656,11014045,685000,Los Angeles County,4,3,,2338,11000,2.815725304
1657,11014145,143951,Los Angeles County,4,2,,2112,8245,2.815725304
1658,11014245,617087,Los Angeles County,3,3,,2584,14415,2.815725304
1659,11014368,421650,Los Angeles County,3,2,,1692,7703,2.815725304
1660,11014468,278606,Los Angeles County,4,2,,1910,7552,2.815725304
1661,11015437,670000,Los Angeles County,4,2,,2223,14972,2.815725304
1662,11015706,401650,Los Angeles County,4,3,,2308,18397,2.815725304
1663,11015829,520305,Los Angeles County,4,3,,2107,11092,2.815725304
1664,11016941,399595,Los Angeles County,3,2,,1796,7531,2.815725304
1665,11017456,307181,Los Angeles County,5,3,,2360,7276,2.815725304
1666,11017579,453900,Los Angeles County,4,3,,1764,5372,2.815725304
1667,11017602,253044,Los Angeles County,3,3,,1764,6493,2.815725304
1668,11018006,387183,Los Angeles County,4,3,,1524,5000,2.815725304
1669,11018489,68904,Los Angeles County,4,2,,1810,7026,2.815725304
1670,11018749,310000,Los Angeles County,2,1,,900,6653,2.815725304
1671,11019018,99501,Los Angeles County,4,2,,1275,8114,2.815725304
1672,11019041,201922,Los Angeles County,3,2,,1384,5369,2.815725304
1673,11019417,418000,Los Angeles County,4,2,,1491,7723,2.815725304
1674,11019815,160739,Los Angeles County,2,1,,1360,6242,2.815725304
1675,11020022,193879,Los Angeles County,3,2,,1428,7500,2.815725304
1676,11020281,312567,Los Angeles County,3,3,,1556,7523,2.815725304
1677,11020601,117598,Los Angeles County,3,1,,896,6897,2.815725304
1678,11020624,407000,Los Angeles County,4,2,,1365,6651,2.815725304
1679,11020724,428000,Los Angeles County,3,2,,1406,9066,2.815725304
1680,11020908,43198,Los Angeles County,2,1,Y,750,6244,2.815725304
1681,11021100,284000,Los Angeles County,2,1,,1125,5338,2.815725304
1682,11021392,50950,Los Angeles County,3,1,Y,1387,9332,2.815725304
1683,11021515,41010,Los Angeles County,1,1,,784,6656,2.815725304
1684,11021591,203338,Los Angeles County,2,1,Y,1313,6749,2.815725304
1685,11021905,336592,Los Angeles County,3,2,,1404,8685,2.815725304
1686,11022149,134129,Los Angeles County,3,2,,1178,7527,2.815725304
1687,11022172,50481,Los Angeles County,3,1,,978,8074,2.815725304
1688,11022439,146730,Los Angeles County,2,1,,896,8010,2.815725304
1689,11022692,43604,Los Angeles County,2,1,,969,7262,2.815725304
1690,11022815,46258,Los Angeles County,3,2,,1131,6869,2.815725304
1691,11022976,46253,Los Angeles County,2,1,,1653,5999,2.815725304
1692,11023052,373586,Los Angeles County,3,2,,1232,6153,2.815725304
1693,11023152,43943,Los Angeles County,2,1,,1012,7068,2.815725304
1694,11023221,272179,Los Angeles County,3,2,,1275,6959,2.815725304
1695,11023505,385729,Los Angeles County,4,3,,2053,7505,2.815725304
1696,11023804,60090,Los Angeles County,2,1,,936,7522,2.815725304
1697,11023827,374000,Los Angeles County,3,2,,1397,9027,2.815725304
1698,11023904,50546,Los Angeles County,3,1,,1014,8545,2.815725304
1699,11024164,91360,Los Angeles County,3,2,,1264,7666,2.815725304
1700,11024548,190466,Los Angeles County,3,1,,880,5999,2.815725304
1701,11024571,39947,Los Angeles County,2,1,,694,5998,2.815725304
1702,11025008,351000,Los Angeles County,3,2,,1098,8251,2.815725304
1703,11025547,65958,Los Angeles County,2,1,,1205,15278,2.815725304
1704,11025831,331388,Los Angeles County,4,2,,1394,12450,2.815725304
1705,11025977,308303,Los Angeles County,4,2,,2324,7558,2.815725304
1706,11026000,131879,Los Angeles County,4,2,,1570,15397,2.815725304
1707,11026599,243143,Los Angeles County,2,1,,843,6400,2.815725304
1708,11026843,365000,Los Angeles County,2,2,,1229,7703,2.815725304
1709,11027227,315010,Los Angeles County,3,2,Y,1253,6008,2.815725304
1710,11027373,202170,Los Angeles County,3,2,,1544,6218,2.815725304
1711,11027496,62578,Los Angeles County,5,2,,1613,7495,2.815725304
1712,11027742,92378,Los Angeles County,3,2,,1364,8807,2.815725304
1713,11027888,266602,Los Angeles County,4,3,,1755,6003,2.815725304
1714,11027988,282488,Los Angeles County,3,2,,1262,6139,2.815725304
1715,11028111,381000,Los Angeles County,3,2,,1468,6002,2.815725304
1716,11028666,162401,Los Angeles County,3,2,,1114,6414,2.815725304
1717,11029177,192953,Los Angeles County,2,1,,868,7517,2.815725304
1718,11029320,204558,Los Angeles County,4,2,,1782,5336,2.815725304
1719,11029366,432000,Los Angeles County,3,2,,1288,7504,2.815725304
1720,11029745,55368,Los Angeles County,3,1,,1150,7418,2.815725304
1721,11029858,437397,Los Angeles County,3,2,,1719,7374,2.815725304
1722,11029957,277882,Los Angeles County,3,2,,1228,8023,2.815725304
1723,11030072,144582,Los Angeles County,4,2,,1649,7518,2.815725304
1724,11030172,227388,Los Angeles County,2,1,,799,7512,2.815725304
1725,11030839,195447,Los Angeles County,4,2,Y,1640,7201,2.815725304
1726,11031062,348540,Los Angeles County,6,3,,2399,10144,2.815725304
1727,11031277,256049,Los Angeles County,2,2,,1372,6346,2.815725304
1728,11031377,58706,Los Angeles County,3,1,,1040,6599,2.815725304
1729,11031400,488200,Los Angeles County,4,3,,2164,5047,2.815725304
1730,11031821,153394,Los Angeles County,3,1,,1410,5944,2.815725304
1731,11032073,319298,Los Angeles County,3,1,,1056,6699,2.815725304
1732,11032173,220289,Los Angeles County,3,2,,1494,6804,2.815725304
1733,11032296,356992,Los Angeles County,3,1,,1056,8028,2.815725304
1734,11032695,283184,Los Angeles County,3,1,,1014,6221,2.815725304
1735,11033522,278580,Los Angeles County,3,2,,1176,6206,2.815725304
1736,11033844,65636,Los Angeles County,3,2,,1315,6132,2.815725304
1737,11034051,332996,Los Angeles County,3,2,,1492,5875,2.815725304
1738,11034274,236962,Los Angeles County,3,1,,1111,7013,2.815725304
1739,11034473,287741,Los Angeles County,3,2,,1833,6622,2.815725304
1740,11034819,266368,Los Angeles County,3,2,,1422,6003,2.815725304
1741,11034942,388000,Los Angeles County,3,2,,1116,6238,2.815725304
1742,11035042,384466,Los Angeles County,3,2,,1342,6196,2.815725304
1743,11035265,61968,Los Angeles County,3,2,,1217,6000,2.815725304
1744,11035511,262613,Los Angeles County,3,2,,2416,28496,2.815725304
1745,11035664,182931,Los Angeles County,3,2,,1262,7679,2.815725304
1746,11035856,165670,Los Angeles County,3,1,,1206,6599,2.815725304
1747,11035879,341119,Los Angeles County,3,2,,1428,8478,2.815725304
1748,11037198,251028,Los Angeles County,3,2,,1270,3296,2.815725304
1749,11037244,222483,Los Angeles County,4,2,,1833,6763,2.815725304
1750,11037467,222668,Los Angeles County,5,3,,2307,6004,2.815725304
1751,11037659,237356,Los Angeles County,4,3,,1689,6299,2.815725304
1752,11037682,263477,Los Angeles County,3,2,,1300,7441,2.815725304
1753,11038310,88536,Los Angeles County,3,1,,1100,7279,2.815725304
1754,11038333,47156,Los Angeles County,2,1,,1184,7167,2.815725304
1755,11038602,351779,Los Angeles County,3,2,,1678,7658,2.815725304
1756,11039208,170041,Los Angeles County,3,1,,1065,6599,2.815725304
1757,11039600,459528,Los Angeles County,3,2,,1379,7498,2.815725304
1758,11040068,214820,Los Angeles County,3,1,,1300,14552,2.815725304
1759,11040367,259082,Los Angeles County,3,3,,1778,9723,2.815725304
1760,11040781,275026,Los Angeles County,3,2,,1437,7798,2.815725304
1761,11040881,372000,Los Angeles County,3,1,,1097,8099,2.815725304
1762,11041150,572000,Los Angeles County,3,2,,2573,18915,2.815725304
1763,11041196,120096,Los Angeles County,3,2,,1540,8530,2.815725304
1764,11041411,332945,Los Angeles County,3,2,,1510,7462,2.815725304
1765,11041503,210622,Los Angeles County,3,2,,1336,7589,2.815725304
1766,11041693,124897,Los Angeles County,3,1,,1044,23840,2.815725304
1767,11042241,63993,Los Angeles County,3,2,,1296,8227,2.815725304
1768,11043088,219327,Los Angeles County,2,1,,1412,12415,2.815725304
1769,11043798,270186,Los Angeles County,5,3,,2096,15008,2.815725304
1770,11043844,293535,Los Angeles County,3,2,,1496,7658,2.815725304
1771,11044147,223858,Los Angeles County,3,2,,1218,7669,2.815725304
1772,11044900,343838,Los Angeles County,3,3,,1821,10306,2.815725304
1773,11045128,324157,Los Angeles County,3,2,,1338,6978,2.815725304
1774,11045151,231951,Los Angeles County,3,2,,1830,4999,2.815725304
1775,11045947,285311,Los Angeles County,3,2,,1242,7205,2.815725304
1776,11046385,324546,Los Angeles County,2,2,,1440,27600,2.815725304
1777,11047278,266076,Los Angeles County,4,3,,2072,17189,2.815725304
1778,11047445,477000,Los Angeles County,3,2,,2103,11638,2.815725304
1779,11047636,210443,Los Angeles County,2,1,,952,6626,2.815725304
1780,11048043,463000,Los Angeles County,3,2,,1648,7624,2.815725304
1781,11048250,407991,Los Angeles County,3,2,,1249,7545,2.815725304
1782,11048473,380372,Los Angeles County,4,2,,1495,7200,2.815725304
1783,11048795,405000,Los Angeles County,3,1,,1060,6624,2.815725304
1784,11049110,344360,Los Angeles County,4,2,,1554,7029,2.815725304
1785,11049554,194518,Los Angeles County,4,2,Y,2188,11693,2.815725304
1786,11049577,216131,Los Angeles County,4,2,,1318,7500,2.815725304
1787,11049944,398983,Los Angeles County,4,3,,2206,5001,2.815725304
1788,11050044,510500,Los Angeles County,4,3,,2206,6319,2.815725304
1789,11050167,401318,Los Angeles County,4,2,,1940,7198,2.815725304
1790,11050490,298477,Los Angeles County,4,2,,1382,7525,2.815725304
1791,11050590,346585,Los Angeles County,4,2,,1707,7482,2.815725304
1792,11051051,194437,Los Angeles County,3,2,,1519,6889,2.815725304
1793,11051566,70064,Los Angeles County,3,2,,1581,8176,2.815725304
1794,11051835,341860,Los Angeles County,3,2,,1393,12578,2.815725304
1795,11051981,54386,Los Angeles County,3,2,,1153,7686,2.815725304
1796,11052081,351873,Los Angeles County,3,3,,1612,8108,2.815725304
1797,11052227,337515,Los Angeles County,3,2,,1662,7596,2.815725304
1798,11052327,512000,Los Angeles County,3,2,,1884,8053,2.815725304
1799,11052573,92418,Los Angeles County,2,2,,1985,27698,2.815725304
1800,11052680,382247,Los Angeles County,3,3,,2660,8054,2.815725304
1801,11052780,215831,Los Angeles County,4,3,,1572,8381,2.815725304
1802,11052926,488000,Los Angeles County,4,4,,1861,7319,2.815725304
1803,11053026,254795,Los Angeles County,4,3,,1616,8592,2.815725304
1804,11053241,241303,Los Angeles County,3,2,,1316,7559,2.815725304
1805,11053364,64214,Los Angeles County,3,2,,1755,22964,2.815725304
1806,11053648,401801,Los Angeles County,4,2,,1823,7501,2.815725304
1807,11053794,481473,Los Angeles County,3,3,,2045,7912,2.815725304
1808,11053817,214613,Los Angeles County,2,2,,1308,8001,2.815725304
1809,11054216,293149,Los Angeles County,2,2,,1609,9099,2.815725304
1810,11055146,200411,Los Angeles County,3,2,,1549,7624,2.815725304
1811,11055369,137211,Los Angeles County,3,2,,1618,8085,2.815725304
1812,11055469,468506,Los Angeles County,3,2,,1940,7720,2.815725304
1813,11056130,348597,Los Angeles County,2,2,,1347,17057,2.815725304
1814,11056522,300894,Los Angeles County,4,2,,2060,6521,2.815725304
1815,11056791,313429,Los Angeles County,3,2,,1128,7509,2.815725304
1816,11057159,344111,Los Angeles County,3,2,,2007,7769,2.815725304
1817,11057282,213911,Los Angeles County,4,2,,1880,7199,2.815725304
1818,11057405,254344,Los Angeles County,3,2,,1669,7559,2.815725304
1819,11057612,376998,Los Angeles County,3,3,,2274,7699,2.815725304
1820,11057735,107142,Los Angeles County,4,2,,1325,7499,2.815725304
1821,11057996,354893,Los Angeles County,3,2,,1392,7800,2.815725304
1822,11058388,367769,Los Angeles County,3,2,,1270,7499,2.815725304
1823,11058488,402757,Los Angeles County,3,3,,2210,8278,2.815725304
1824,11058634,303078,Los Angeles County,3,2,,1130,7000,2.815725304
1825,11058848,357542,Los Angeles County,3,2,,1807,8157,2.815725304
1826,11059009,437702,Los Angeles County,3,2,,1570,8339,2.815725304
1827,11059032,63601,Los Angeles County,4,2,,1570,7199,2.815725304
1828,11059492,400273,Los Angeles County,4,2,,1885,12392,2.815725304
1829,11059538,63596,Los Angeles County,3,2,,1642,7940,2.815725304
1830,11059684,196665,Los Angeles County,3,2,,1617,7504,2.815725304
